[['48.7431495, -124.2565227'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7718342, -124.2570722'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.772318, -124.2570693'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.7908813, -124.200968'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.812997, -124.2374442'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.81406579999999, -124.229966'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['water', 0.00011504719]]
[['48.814204, -124.2287282'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.818807, -124.2221672'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8349211, -124.2274073'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8411725, -124.2284501'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.8504401, -124.2288166'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.854861, -124.2331141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.875172, -124.2170016'], ['non-scenic', 0.004085504], ['non-scenic', 0.00013893704], ['non-scenic', 9.9483186e-06]]
[['48.8803226, -124.229097'], ['nature and woods', 0.00030938571], ['water', 2.7538051e-06], ['nature and woods', 1.4627375e-06]]
[['48.8821887, -124.2347444'], ['nature and woods', 8.7981512e-05], ['nature and woods', 5.0405715e-06], ['nature and woods', 3.2392625e-06]]
[['48.8874193, -124.2392883'], ['nature and woods', 3.3316774e-05], ['nature and woods', 2.2867821e-06], ['nature and woods', 1.9355562e-06]]
[['48.8875141, -124.2395259'], ['nature and woods', 0.0002473986], ['nature and woods', 5.6252804e-05], ['nature and woods', 1.737657e-06]]
[['48.9280106, -124.2152517'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9280482, -124.2153324'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9320719, -124.2184443'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.9335417, -124.217981'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.94439939999999, -124.2493403'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.9286049, -124.1721931'], ['non-scenic', 0.0026240654], ['water', 5.5409215e-05], ['non-scenic', 9.1007887e-06]]
[['46.9289199, -124.1726115'], ['non-scenic', 0.0030907106], ['non-scenic', 0.00037830253], ['non-scenic', 7.2879215e-05]]
