[['47.3923082, -122.2400619'], ['non-scenic', 0.0044936421], ['non-scenic', 0.00019613784], ['non-scenic', 8.007844e-05]]
[['47.401293, -122.2402325'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4111684, -122.2403656'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4175603, -122.2412387'], ['non-scenic', 0.00061112398], ['non-scenic', 0.00029125871], ['non-scenic', 0.00011695508]]
[['47.4279258, -122.2412093'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.435818, -122.2411946'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4469891, -122.2436789'], ['non-scenic', 4.7595036e-05], ['non-scenic', 9.5778951e-06], ['non-scenic', 9.2297951e-06]]
[['47.4548903, -122.2432106'], ['non-scenic', 0.00031303533], ['non-scenic', 4.4169333e-06], ['non-scenic', 3.9971155e-06]]
[['47.4649143, -122.2417782'], ['non-scenic', 5.0294566e-05], ['non-scenic', 6.4529445e-06], ['non-scenic', 5.0093918e-06]]
[['47.4735058, -122.2409505'], ['nature and woods', 0.0002946567], ['non-scenic', 7.0564683e-06], ['nature and woods', 2.6187158e-06]]
[['47.4826314, -122.2411993'], ['sightseeing', 0.00048343773], ['non-scenic', 6.9577785e-05], ['nature and woods', 9.7717975e-06]]
[['47.4909942, -122.2411435'], ['non-scenic', 7.7073164e-05], ['non-scenic', 4.0058811e-05], ['non-scenic', 1.0597789e-05]]
[['47.50008, -122.2414247'], ['non-scenic', 0.0022256339], ['non-scenic', 0.00037026423], ['non-scenic', 0.00011257747]]
[['47.5092083, -122.2409681'], ['sightseeing', 0.062403679], ['non-scenic', 0.00046132991], ['non-scenic', 0.00013652664]]
[['47.51099980000001, -122.2413131'], ['non-scenic', 9.6345873e-05], ['non-scenic', 8.1104728e-05], ['non-scenic', 3.5930916e-05]]
[['47.529637, -122.236938'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
