[['48.6521269, -117.9329583'], ['mountain', 3.1735675e-05], ['nature and woods', 2.9545303e-05], ['nature and woods', 2.1660055e-05]]
[['47.29122659999999, -117.9330776'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3019851, -117.9235063'], ['non-scenic', 0.00054174161], ['non-scenic', 5.2034389e-05], ['non-scenic', 3.3556833e-05]]
[['47.3126768, -117.9251813'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.32228019999999, -117.9231307'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3302504, -117.9247653'], ['non-scenic', 4.5595258e-05], ['fields', 1.3641167e-05], ['non-scenic', 6.7686133e-06]]
[['47.3408162, -117.9225237'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.3412225, -117.9236616'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.36159259999999, -117.9391006'], ['non-scenic', 0.0003430621], ['non-scenic', 6.8235808e-05], ['non-scenic', 1.30501e-05]]
[['47.36505589999999, -117.9388824'], ['non-scenic', 1.3458743e-05], ['non-scenic', 1.1972568e-05], ['non-scenic', 1.1803993e-05]]
[['47.3780207, -117.934264'], ['non-scenic', 0.00015278136], ['non-scenic', 2.8074543e-05], ['water', 8.6083737e-06]]
[['47.3842243, -117.9261158'], ['non-scenic', 4.1350573e-05], ['non-scenic', 2.9826764e-05], ['water', 1.7174269e-05]]
[['47.3914087, -117.9208965'], ['non-scenic', 4.4244207e-05], ['water', 3.6770944e-05], ['non-scenic', 3.6080553e-05]]
[['47.3986413, -117.9147961'], ['water', 3.2200674e-05], ['nature and woods', 1.2866361e-05], ['non-scenic', 8.7207527e-06]]
[['47.4094747, -117.9102194'], ['non-scenic', 0.00019727251], ['nature and woods', 8.0914419e-05], ['non-scenic', 3.6195623e-05]]
[['47.4224375, -117.9264598'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4287874, -117.9215504'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4379964, -117.9302624'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4494854, -117.9198173'], ['fields', 0.00074659841], ['non-scenic', 5.6587687e-05], ['non-scenic', 1.0064045e-05]]
[['47.4511876, -117.9210175'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4640546, -117.9298075'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4721524, -117.9242628'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4829087, -117.9290141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.4938797, -117.9235923'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.500108, -117.9189628'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5090811, -117.9189257'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5198666, -117.9267744'], ['fields', 8.4847023e-05], ['non-scenic', 3.5884212e-05], ['non-scenic', 6.1234027e-06]]
[['47.5269987, -117.9193364'], ['non-scenic', 1.3555801e-05], ['fields', 8.5874453e-06], ['non-scenic', 6.9898824e-06]]
[['47.53605599999999, -117.9235823'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.54569009999999, -117.9218294'], ['fields', 0.00010151242], ['fields', 7.8362809e-06], ['fields', 4.6784739e-06]]
[['47.5545202, -117.925553'], ['non-scenic', 3.2222459e-05], ['fields', 2.6554748e-05], ['non-scenic', 1.1678343e-05]]
[['47.5640788, -117.921489'], ['fields', 4.8253176e-05], ['water', 4.3435142e-05], ['non-scenic', 1.0162485e-05]]
[['47.5698766, -117.9275267'], ['non-scenic', 4.7349287e-05], ['fields', 3.4462999e-05], ['water', 2.2556047e-05]]
[['47.5795867, -117.9235807'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5949558, -117.9287637'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.59728210000001, -117.9224288'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6103706, -117.9249112'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6217285, -117.9235803'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6217285, -117.9235844'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.64355949999999, -117.9235815'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.64355949999999, -117.9235825'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.65807419999999, -117.9234387'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6636415, -117.9243324'], ['non-scenic', 8.2772538e-05], ['non-scenic', 1.0677021e-05], ['non-scenic', 8.1614862e-06]]
[['47.6734281, -117.9274338'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6800738, -117.9274536'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.68711, -117.9236143'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6979789, -117.9279895'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7071069, -117.9280141'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7160616, -117.9278928'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7232077, -117.9236312'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7340641, -117.9279527'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7450139, -117.923556'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7521381, -117.9174302'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7595165, -117.9238354'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7701533, -117.9386466'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.781059, -117.9217585'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7864515, -117.9228222'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
