[['46.325903, -117.5838229'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.330228, -117.5866046'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3396093, -117.5876033'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3459088, -117.5946176'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.35597019999999, -117.5900509'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3675047, -117.5932894'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3740876, -117.600173'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3833718, -117.5987509'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3964619, -117.6050684'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.3998323, -117.6071018'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4174818, -117.5855502'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.420209, -117.5946239'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4270934, -117.600494'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4376966, -117.591702'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4475276, -117.5884145'], ['nature and woods', 1.2902591e-05], ['non-scenic', 6.04147e-06], ['non-scenic', 5.9473573e-06]]
[['46.4561105, -117.5998526'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.46610920000001, -117.5888043'], ['mountain', 0.00011306438], ['non-scenic', 5.7014636e-06], ['non-scenic', 2.0759921e-06]]
[['46.47401989999999, -117.5946204'], ['non-scenic', 0.00063838327], ['non-scenic', 0.00031156125], ['non-scenic', 4.9013015e-05]]
[['46.4826463, -117.5909302'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.4920821, -117.5901875'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.49809, -117.5895279'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5072075, -117.6000783'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5241693, -117.5864558'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5302034, -117.585639'], ['non-scenic', 1.8477587e-05], ['non-scenic', 1.2818265e-05], ['non-scenic', 7.9923109e-07]]
[['46.5378672, -117.5916043'], ['nature and woods', 7.7718621e-05], ['non-scenic', 3.6551735e-06], ['non-scenic', 2.6093653e-06]]
[['46.54729349999999, -117.599252'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5561675, -117.6004575'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5571581, -117.6003264'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5716176, -117.5809316'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.5908124, -117.5895909'], ['non-scenic', 2.5872218e-05], ['non-scenic', 2.4117297e-05], ['non-scenic', 8.9734986e-06]]
[['46.5921646, -117.5936743'], ['non-scenic', 8.0829865e-05], ['non-scenic', 1.5273494e-05], ['non-scenic', 4.8300667e-06]]
[['46.59605939999999, -117.5996044'], ['mountain', 0.00026386618], ['non-scenic', 2.4742187e-05], ['non-scenic', 3.0480248e-06]]
[['46.6090153, -117.6080887'], ['fields', 0.00017842252], ['non-scenic', 2.1443759e-05], ['non-scenic', 1.8526653e-05]]
[['46.6271412, -117.5992866'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6282949, -117.5950267'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6284049, -117.594098'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6551807, -117.5901095'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.65598749999999, -117.5925701'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.658566, -117.5929168'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.65894180000001, -117.5910244'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7067822, -117.583907'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7112926, -117.5966763'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7160896, -117.5898847'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.73038589999999, -117.5931439'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7365928, -117.5984188'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7433487, -117.5929584'], ['nature and woods', 0.00025089722], ['non-scenic', 5.2532545e-05], ['non-scenic', 2.6433283e-05]]
